County,Year,Homeless (Count),Population,Unemployment Rate,Median Inc,Incarceration (Rateper1000),Poverty (Count),Drug Arrests (Count),Relocated (Rate),Sub Abuse Enrollment (Count),Adult Pysch Beds (Count),Severe Housing Problems (Rate),Forcible Sex (Count),Foster Care (Count)
Putnam,2018,56,73422,4.8,35649,5.2,17653,646,10.7045898918288,140,0,17.3,44,167
Putnam,2019,59,73012,4.5,37670,4.5,16932,731,11.2476173250038,157,0,NA,26,203
Putnam,2020,178,73355,7.9,40068,3.7,16235,481,11.7828858412208,19,0,NA,25,273
St. Johns,2018,342,241545,2.9,77323,1.9,19660,869,14.1404549241644,400,21,12.5,52,180
St. Johns,2019,356,249734,2.8,82252,1.9,19779,747,12.9630352981003,384,21,NA,50,138
St. Johns,2020,368,266128,5.3,83803,1.5,19562,559,12.3216090310813,12,21,NA,32,227
St. Lucie,2018,784,304743,4.4,49373,4.3,45516,1716,11.399805351808,1217,106,18,131,294
St. Lucie,2019,708,309073,4.1,52322,4.5,41284,1254,10.5468476488652,1041,84,NA,136,319
St. Lucie,2020,708,316620,7.8,55237,3.5,41628,892,10.3001080453468,789,84,NA,130,334
Santa Rosa,2018,34,175552,3.3,66242,3.9,16119,1358,17.2668586149417,555,0,11.5,109,275
Santa Rosa,2019,13,179875,3.1,67949,4.1,16210,1316,16.2544316501476,470,100,NA,103,256
Santa Rosa,2020,13,183633,5.2,70663,2.9,17288,816,15.8024160952419,376,100,NA,79,233
Sarasota,2018,647,415896,3.4,58644,2.5,39255,2304,13.5234942060359,1499,65,16.2,97,276
Sarasota,2019,594,426977,3.3,62236,2.1,37035,1824,13.6102111427628,1179,65,NA,94,277
Sarasota,2020,594,434853,6.8,64644,1.9,36496,1355,13.2112344530978,712,65,NA,126,322
Seminole,2018,288,463627,3.2,63760,2.2,51442,2757,13.670608226118,925,62,16.7,282,343
Seminole,2019,252,472775,3.1,66768,2.1,48688,1868,14.2055141182738,1030,72,NA,229,336
Seminole,2020,372,480417,7.2,70297,1.7,45273,729,14.1096758768784,892,72,NA,225,408
Sumter,2018,48,125779,5.1,55228,4,9839,1018,9.90070193460024,376,0,11,41,68
Sumter,2019,10,130642,4.9,57226,3.7,9445,1039,10.3391266440198,299,0,NA,35,42
Sumter,2020,24,133310,7.9,59618,2.7,10538,799,10.4266910565873,50,0,NA,43,40
Suwannee,2018,141,45123,3.7,42686,4.5,7530,382,9.33670627552915,98,0,16.8,23,57
Suwannee,2019,150,45482,3.5,47839,4.2,6287,314,8.70242134126505,72,0,NA,40,57
Suwannee,2020,182,46028,5.6,46280,3,5908,190,9.26010504681434,31,0,NA,36,85
Taylor,2018,0,22258,3.8,36934,5.7,3568,288,13.0474496418441,129,0,11.4,20,29
Taylor,2019,9,22652,3.8,40306,5.7,3782,228,12.2637405133659,66,0,NA,18,28
Taylor,2020,11,22654,6.2,38295,5.6,3711,152,12.1947790223555,71,0,NA,10,49
Union,2018,0,15966,3.4,41770,2.2,2131,61,12.5219426565243,59,0,16.3,3,23
Union,2019,0,15985,3.1,44270,2,1988,57,14.3232095988001,37,0,NA,12,9
Union,2020,0,15493,4.7,55139,2.2,1545,28,15.5481576757207,11,0,NA,7,17
Volusia,2018,621,532926,3.7,46760,2.8,78700,5413,12.228235404367,1305,74,16.5,201,728
Volusia,2019,745,539563,3.6,49494,2.6,75014,4398,11.9294157839481,1388,74,NA,166,732
Volusia,2020,839,546612,7.6,52407,2.5,70765,2731,11.1397274750673,235,74,NA,244,758
Wakulla,2018,0,32350,3.1,62778,4.1,3272,257,13.4412163654143,137,0,9.6,22,23
Wakulla,2019,4,32418,3,61410,6.1,3533,242,11.7927913871119,127,0,NA,20,23
Wakulla,2020,0,33394,4.5,67480,2.6,2193,140,10.3510406958683,144,0,NA,21,28
Walton,2018,173,67926,3.1,53785,4.5,9361,363,14.4921079429735,307,0,17,38,182
Walton,2019,27,70352,3,58093,3.7,8772,258,14.7485211634536,256,0,NA,33,212
Walton,2020,27,72528,5.9,67390,2.5,7996,253,16.4630681818182,246,0,NA,39,235
Washington,2018,2,25243,3.8,37188,5.5,4901,406,13.3599495692372,211,0,12.4,6,24
Washington,2019,7,25347,3.6,37022,6.8,5291,493,13.6856814072004,174,0,NA,8,22
Washington,2020,2,25252,5.8,37260,3.5,5311,206,11.8666939276222,89,0,NA,7,24
