"","imdbID","Director","Metascore","imdbRating","imdbVotes","BoxOffice"
"146","tt1606378","John Moore","28",5.2,208071,"$67,349,198"
"147","tt0379306","Mike Barker","53",6.5,13502,"$238,609"
"148","tt0113198","Kevin Lima","53",6.9,55945,"$35,348,597"
"149","tt0069442","François Truffaut","N/A",6.5,2610,"N/A"
"150","tt0950740","Harvey Frost","N/A",6.8,1235,"N/A"
"151","tt0473488","Dito Montiel","67",6.9,25984,"$517,809"
"152","tt1987018","Rémi Bezançon","N/A",6.5,4514,"N/A"
"153","tt0058182","Richard Lester","96",7.5,45553,"$1,480,356"
"154","tt2243537","Michael Tiddes","20",5,47378,"$40,041,683"
"155","tt1813609","Brett Donowho","N/A",4.8,2857,"N/A"
"156","tt0105682","Claude Sautet","N/A",7.6,10037,"$1,605,437"
"157","tt2216240","Tobias Lindholm","82",7.1,16824,"$414,437"
"158","tt0399146","David Cronenberg","81",7.4,240215,"$31,504,633"
"159","tt0359423","Michael Mayer","59",6.6,13670,"$1,029,872"
"160","tt1235075","Gábor Herendi","N/A",6.8,3585,"N/A"
"161","tt0183790","Brian Helgeland","56",6.9,188402,"$56,569,702"
"162","tt1226240","Yaron Zilberman","67",7.1,14787,"$1,562,548"
"163","tt0104694","Penny Marshall","69",7.3,110396,"$107,533,928"
"164","tt0041587","Joseph L. Mankiewicz","N/A",7.7,9971,"N/A"
"165","tt0119535","Danny Boyle","35",6.3,35877,"$4,366,722"
"166","tt1440161","Nicole Kassell","14",6.2,28943,"$15,375"
"167","tt2639254","Alan Rickman","51",6.5,23653,"$558,173"
"168","tt1319722","Michael J. Weithorn","54",5.6,3430,"$96,868"
"169","tt0076319","Harold Prince","N/A",5.5,848,"N/A"
"170","tt0113670","Alfonso Cuarón","83",7.6,35038,"$10,015,449"
"171","tt1422136","Julian Gilbey","N/A",6.2,29585,"N/A"
"172","tt0458413","Pascal Chaumeil","34",6.3,33577,"$13,347"
"173","tt0369672","Shainee Gabel","48",7.1,26372,"$164,308"
"174","tt0049902","Robert Bresson","N/A",8.3,22597,"N/A"
"175","tt0060665","Fred Zinnemann","72",7.7,34891,"N/A"
"176","tt1447479","Ned Farr","51",6,2356,"N/A"
"177","tt0038733","Michael Powell, Emeric Pressburger","N/A",8,22290,"N/A"
"178","tt0140379","Michael Hoffman","61",6.4,25836,"$16,071,990"
"179","tt2557490","Seth MacFarlane","44",6.1,190418,"$43,139,300"
"180","tt3416532","J.A. Bayona","76",7.4,89098,"$3,740,823"
"181","tt2937898","J.C. Chandor","79",7,73349,"$5,749,134"
"182","tt1972571","Anton Corbijn","73",6.8,76908,"$17,237,855"
"183","tt0067482","Elaine May","N/A",7.3,6790,"N/A"
"184","tt0026778","Sam Wood, Edmund Goulding","N/A",7.8,33216,"$2,537,520"
"185","tt0087800","Wes Craven","76",7.4,242020,"$25,624,448"
"186","tt1179056","Samuel Bayer","35",5.2,101858,"$63,075,011"
"187","tt0093629","Chuck Russell","49",6.6,83115,"$44,793,222"
"188","tt0095742","Renny Harlin","56",5.6,57112,"$49,369,899"
"189","tt0097981","Stephen Hopkins","54",5,46857,"$22,168,359"
"190","tt0089686","Jack Sholder","43",5.4,71125,"$29,999,213"
"191","tt0022599","René Clair","N/A",7.4,4651,"N/A"
"192","tt0087892","David Lean","78",7.3,19220,"$27,187,653"
"193","tt0059573","Guy Green","73",8,8851,"N/A"
"194","tt3577624","Fernando León de Aranoa","60",6.8,22488,"$14,044"
"195","tt0971209","David Twohy","63",6.5,73346,"$15,515,460"
"196","tt0120787","Andrew Davis","50",6.6,86510,"$67,638,368"
"197","tt0107808","Clint Eastwood","71",7.5,81652,"$31,130,999"
"198","tt1883180","Roy Andersson","81",6.9,18637,"$222,989"
"199","tt0420087","Robert Altman","75",6.7,23002,"$20,342,852"
"200","tt0089838","Malcolm Mowbray","N/A",6.5,2950,"$2,527,088"
"201","tt1235166","Jacques Audiard","90",7.8,99080,"$2,087,720"
"202","tt2392830","Terence Davies","78",6.5,5886,"$1,865,396"
"203","tt0055353","Daniel Petrie","87",8,8838,"N/A"
"204","tt0282123","Greg Beeman","N/A",5.8,1324,"N/A"
"205","tt0105265","Robert Redford","68",7.2,61388,"$43,440,294"
"206","tt0091867","James Ivory","83",7.2,44326,"$20,966,644"
"207","tt1276419","Nikolaj Arcel","73",7.5,48153,"$1,546,761"
"208","tt1837562","Julian Jarrold","58",6.5,10484,"$228,136"
"209","tt0405296","Richard Linklater","73",7,112713,"$5,501,616"
"210","tt1832382","Asghar Farhadi","95",8.3,245510,"$7,099,055"
"211","tt1019452","Ethan Coen, Joel Coen","85",7,143444,"$9,228,768"
"212","tt0058586","Blake Edwards","70",7.4,28704,"$12,368,234"
"213","tt5323662","Naoko Yamada","78",8.1,82348,"$764,723"
"214","tt2008006","Ann Hui","78",7.5,5983,"$191,826"
"215","tt0120133","Michael Ritchie","N/A",5.3,5606,"$8,345,056"
"216","tt1315981","Tom Ford","77",7.5,113128,"$9,176,000"
"217","tt0088146","Norman Jewison","66",7.2,10379,"$21,821,347"
"218","tt0076085","Ettore Scola","N/A",8.1,14384,"N/A"
"219","tt0047522","George Cukor","89",7.5,18395,"$4,335,968"
"220","tt0075265","Frank Pierson","59",6.1,11988,"$80,000,000"
"221","tt0044081","Elia Kazan","97",7.9,108980,"N/A"
"222","tt0024625","Edwin L. Marin","N/A",5.6,1062,"N/A"
"223","tt0059764","James Hill","N/A",6.5,2165,"N/A"
"224","tt0097106","Éric Rohmer","N/A",7.1,4924,"N/A"
"225","tt0365376","Jee-woon Kim","65",7.1,63213,"$72,541"
"226","tt0055506","Tony Richardson","N/A",7.4,5805,"N/A"
"227","tt2201548","Hannah Fidell","47",4.8,5111,"$8,348"
"228","tt0000131","Georges Méliès","N/A",5.8,1341,"N/A"
"229","tt0763831","Brian Robbins","26",5.8,43101,"$18,450,127"
"230","tt0062373","Phil Karlson, Roger Corman","N/A",5.4,955,"N/A"
"231","tt0070819","Melvin Frank","N/A",6.5,3210,"$18,312,000"
"232","tt1433540","Stéphane Aubier, Vincent Patar","70",7.4,8311,"$165,509"
"233","tt1515725","Ashley Miller","N/A",6,461,"N/A"
"234","tt0000417","Georges Méliès","N/A",8.2,50496,"N/A"
"235","tt3387266","Amma Asante","65",6.9,16345,"$3,902,185"
"236","tt1268799","Todd Strauss-Schulson","61",6.2,70137,"$35,061,031"
"237","tt0344510","Jean-Pierre Jeunet","76",7.6,74170,"$6,524,389"
"238","tt0090264","John Glen","40",6.3,98951,"$50,327,960"
"239","tt0066914","Jesús Franco, Pierre Quérut, Jean Rollin","N/A",4.9,2532,"N/A"
"240","tt0365907","Scott Frank","57",6.5,122468,"$26,307,600"
"241","tt1178665","Ken Kwapis","51",6.3,27395,"$29,504,281"
"242","tt0120613","Tony Goldwyn","70",6.6,8805,"$4,750,660"
"243","tt0281358","Adam Shankman","35",7.3,212411,"$41,281,092"
"244","tt0070898","Sidney Poitier","N/A",6.1,718,"N/A"
"245","tt1280558","Neeraj Pandey","N/A",8.1,79081,"N/A"
"246","tt0055572","Jean-Luc Godard","71",7.4,18050,"$100,665"
"247","tt0014624","Charles Chaplin","N/A",6.9,5614,"N/A"
"248","tt0072417","John Cassavetes","88",8.1,25724,"$13,336,830"
"249","tt0212720","Steven Spielberg","65",7.2,308992,"$78,616,689"
"250","tt0109144","Phillip J. Roth","N/A",4.3,1145,"$49,601"
"251","tt0075617","Lasse Hallström","N/A",6.4,3548,"N/A"
"252","tt0040068","Charles Barton, Walter Lantz","N/A",7.3,18040,"$4,796,000"
"253","tt1600195","John Singleton","25",5.1,80999,"$28,087,155"
"254","tt1479668","Diego Luna","N/A",6.8,1494,"N/A"
"255","tt0276751","Chris Weitz, Paul Weitz","75",7.1,184713,"$41,385,278"
"256","tt3334794","Mark Monheim","N/A",6.6,860,"N/A"
"257","tt1945062","Stephen Elliott","33",4.8,10551,"$3,003"
"258","tt1360860","Asghar Farhadi","87",7.9,53845,"$470,760"
"259","tt1826590","Steve Pink","62",6,24246,"$48,637,684"
"260","tt0090583","Edward Zwick","70",6.2,16340,"$38,702,310"
"261","tt0257360","Alexander Payne","85",7.2,129365,"$65,016,287"
"262","tt2194499","Richard Curtis","55",7.8,351160,"$15,322,921"
"263","tt1611224","Timur Bekmambetov","42",5.9,156804,"$37,519,139"
"264","tt0081974","Sydney Pollack","64",6.9,13736,"$40,716,963"
"265","tt1610996","Mike Flanagan","N/A",5.8,18849,"N/A"
"266","tt1727770","Terry Jones","31",5.9,43351,"$20,169"
"267","tt2112096","Mandie Fletcher","59",5.4,12687,"$4,772,155"
"268","tt0054599","Pier Paolo Pasolini","N/A",7.7,9182,"N/A"
"269","tt0384793","Steve Pink","47",6.4,133726,"$36,323,505"
"270","tt0061328","Joseph Losey","N/A",6.8,4635,"$17,161"
"271","tt1119123","Andrew Lancaster","N/A",6,2747,"N/A"
"272","tt1059925","Nancy Bardawil","N/A",6.1,10067,"N/A"
"273","tt1758563","Louis Aimé Augustin Le Prince","N/A",5.5,1316,"N/A"
"274","tt1891974","Takashi Miike","N/A",6.5,2917,"N/A"
"275","tt0043338","Billy Wilder","72",8.1,36431,"N/A"
"276","tt0109040","Tom Shadyac","37",6.9,303486,"$72,217,396"
"277","tt0112281","Steve Oedekerk","45",6.4,218855,"$108,385,533"
