"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"171","Foolish Wives",3,1922,5958,"0013140","tt0013140",7,3751
"172","Dr. Mabuse, der Spieler - Ein Bild der Zeit",3,1922,5967,"0013086","tt0013086",7.8,8583
"173","Safety Last!",0,1923,1961,"0014429","tt0014429",8.1,21035
"174","Why Worry?",0,1923,1967,"0014611","tt0014611",7.3,1829
"175","Silent Command, The",2,1923,1998,"0014469","tt0014469",6,95
"176","La souriante Madame Beudet",3,1923,5888,"0013626","tt0013626",6.6,2638
"177","Our Hospitality",0,1923,5949,"0014341","tt0014341",7.8,11506
"178","A Woman of Paris",2,1923,8947,"0014624","tt0014624",6.9,5633
"179","Die Nibelungen",2,1924,1337,"0015175","tt0015175",8.1,6020
"180","Kriemhild&#39;s Revenge",2,1924,1338,"0015174","tt0015174",7.9,4595
"181","Thief of Bagdad, The",0,1924,1264,"0015400","tt0015400",7.7,6380
"182","Wild Oranges",0,1924,1960,"0015498","tt0015498",6.7,538
"183","Navigator, The",0,1924,2009,"0015163","tt0015163",7.6,10166
"184","Sherlock Jr.",0,1924,2011,"0015324","tt0015324",8.2,50779
"185","Girl Shy",0,1924,2016,"0014945","tt0014945",7.7,3466
"186","Manhandled",3,1924,2020,"0015116","tt0015116",6.7,1099
"187","Great White Silence, The",0,1924,2413,"1764657","tt1764657",8,1372
"188","Help!",0,1924,6209,"0013845","tt0013845",6.8,437
"189","Greed",3,1924,8458,"0015881","tt0015881",8.1,10145
"190","Phantom of the Opera, The",2,1925,1305,"0016220","tt0016220",7.5,18795
"191","Battleship Potemkin",0,1925,1308,"0015648","tt0015648",7.9,58393
"192","Gold Rush, The",0,1925,1309,"0015864","tt0015864",8.2,112203
"193","Go West",0,1925,1978,"0015863","tt0015863",7.1,4500
"194","Freshman, The",0,1925,2012,"0015841","tt0015841",7.5,5661
"195","Seven Chances",0,1925,3077,"0016332","tt0016332",7.8,10595
"196","Lost World, The",2,1925,5514,"0016039","tt0016039",7,5366
"197","Big Parade, The",2,1925,5962,"0015624","tt0015624",7.9,6879
"198","Stachka",0,1925,5991,"0015361","tt0015361",7.6,8124
"199","Temptress, The",1,1926,1334,"0017449","tt0017449",6.9,1270
"200","Flesh and the Devil",1,1926,1260,"0016884","tt0016884",7.6,4367
"201","General, The",0,1926,1310,"0017925","tt0017925",8.2,92268
"202","For Heaven&#39;s Sake",0,1926,1966,"0016895","tt0016895",7.5,1755
"203","So&#39;s Your Old Man",3,1926,3217,"0017410","tt0017410",6.6,218
"204","Die Abenteuer des Prinzen Achmed",1,1926,5974,"0015532","tt0015532",7.8,6344
"205","It",3,1927,1227,"0018033","tt0018033",7.2,3289
"206","Metropolis",1,1927,1267,"0017136","tt0017136",8.3,175330
"207","Abel Gance&#39;s Napoleon",2,1927,1312,"0018192","tt0018192",8.2,7961
"208","Unknown, The",0,1927,1311,"0018528","tt0018528",7.7,8188
"209","Sunrise: A Song of Two Humans",2,1927,1632,"0018455","tt0018455",8.1,51484
"210","Kid Brother, The",0,1927,1964,"0018051","tt0018051",7.6,4483
"211","Nevada",0,1927,1982,"0018199","tt0018199",6.2,129
"212","My Best Girl",3,1927,2010,"0018183","tt0018183",7.5,888
"213","Wings",1,1927,3118,"0018578","tt0018578",7.6,13194
"214","Jazz Singer, The",1,1927,5975,"0018037","tt0018037",6.4,10239
"215","Downhill [When Boys Leave Home]",1,1927,7324,"0017825","tt0017825",6,2704
"216","Passion of Joan of Arc, The",0,1928,1314,"0019254","tt0019254",8.2,55584
"217","Speedy",0,1928,1963,"0019412","tt0019412",7.6,3882
"218","Circus, The",0,1928,1968,"0018773","tt0018773",8.1,34171
"219","Cameraman, The",0,1928,1970,"0018742","tt0018742",8,12015
"220","Steamboat Bill, Jr.",0,1928,1971,"0019421","tt0019421",7.8,14934
"221","Racket, The",0,1928,1972,"0019304","tt0019304",6.7,1355
"222","Beggars of Life",0,1928,1977,"0018684","tt0018684",7.5,1203
"223","Power of the Press, The",1,1928,1979,"0019290","tt0019290",6.4,295
"224","A Girl in Every Port",0,1928,1980,"0018937","tt0018937",6.6,755
"225","Patsy, The",3,1928,2013,"0019258","tt0019258",7.5,2626
"226","While the City Sleeps",2,1928,2017,"0019571","tt0019571",6.5,245
"227","Man Who Laughs, The",2,1928,2021,"0019130","tt0019130",7.7,7176
"228","Crowd, The",1,1928,5912,"0018806","tt0018806",8.1,8553
"229","Docks of New York, The",2,1928,5984,"0018839","tt0018839",7.5,4634
"230","Our Dancing Daughters",2,1928,9314,"0019237","tt0019237",6.7,1847
"231","Un chien andalou",0,1929,1313,"0020530","tt0020530",7.7,50691
"232","Cocoanuts, The",2,1929,1953,"0019777","tt0019777",6.8,7795
"233","Welcome Danger",0,1929,1962,"0020572","tt0020572",5.9,775
"234","Pandora&#39;s Box (Die B&uuml;chse der Pandora)",3,1929,2324,"0018737","tt0018737",7.8,11017
"235","Man with a Movie Camera",0,1929,3897,"0019760","tt0019760",8.4,25656
"236","Blackmail",2,1929,5979,"0019702","tt0019702",6.9,11054
"237","Throw of the Dice",0,1929,6046,"0020286","tt0020286",6.5,924
"238","Juno and the Paycock [The Shame of Mary Boyle]",3,1929,7287,"0021015","tt0021015",4.6,2393
"239","Broadway Melody",3,1929,8464,"0019729","tt0019729",5.6,7395
"240","Blue Angel, The",1,1930,1315,"0020697","tt0020697",7.7,15325
"241","All Quiet on the Western Front",0,1930,1316,"0020629","tt0020629",8.1,63309
"242","Anna Christie",3,1930,1326,"0020641","tt0020641",6.6,3260
"243","Ladies of Leisure",3,1930,3713,"0021040","tt0021040",6.7,1262
"244","L&#39;Age d&#39;Or",0,1930,3871,"0021577","tt0021577",7.2,14100
"245","Morocco",1,1930,3865,"0021156","tt0021156",7,6945
"246","Min and Bill",3,1930,3927,"0021148","tt0021148",6.7,1797
"247","Be Yourself",2,1930,4253,"0020670","tt0020670",5.7,212
"248","Bat Whispers, The",3,1930,6782,"0020668","tt0020668",6.3,1050
"249","Murder!",3,1930,7291,"0021165","tt0021165",6.3,6503
