"Combined","YearOfLaunch","Segment","Trim_Count","AVG_MSRP_CAD","MSRP_Range_CAD","StdDev_MSRP_CAD","Error.MSRP_CAD"
"2000 GMC Yukon",1999,NA,12,41756.6666666667,18800,6421.7610630975,1853.8027392254
"2000 GMC Yukon XL",1999,NA,12,46281.6666666667,19500,6451.82614505851,1862.4817808071
"2000 Honda Accord",1999,NA,14,26357.8571428571,9300,2964.84901307464,792.389229317154
"2000 Honda Civic",1999,NA,25,17927,9100,2026.35140091742,405.270280183484
"2000 Honda CR-V",1999,NA,3,27015,2000,1000,577.350269189626
"2000 Honda Insight",1999,NA,1,26015,0,NA,NA
"2000 Honda Odyssey",1999,NA,2,32315,3000,2121.32034355964,1500
"2000 Honda Prelude",1999,NA,3,29581.6666666667,4000,2081.66599946613,1201.85042515466
"2000 Honda S2000",1999,NA,1,48015,0,NA,NA
"2000 Hyundai Accent",1999,NA,6,13481.6666666667,2700,1015.217546473,414.460827796521
"2000 Hyundai Elantra",1999,NA,6,16448.3333333333,3100,1087.50478926149,443.971971087265
"2000 Hyundai Sonata",1999,NA,2,23365,6700,4737.61543394987,3350
"2000 Hyundai Tiburon",1999,NA,4,20665,3300,1447.98710859823,723.993554299116
"2000 INFINITI G20",1999,NA,3,30281.6666666667,1100,635.085296108588,366.666666666667
"2000 INFINITI I30",1999,NA,2,40615,1800,1272.79220613579,900
"2000 INFINITI Q45t",1999,NA,1,15,0,NA,NA
"2000 INFINITI QX4",1999,NA,2,45515,0,0,0
"2000 Isuzu Rodeo",1999,NA,8,35102.5,10400,3587.05509934184,1268.2154926172
"2000 Isuzu Trooper",1999,NA,4,37565,9000,4027.81992315115,2013.90996157557
"2000 Jaguar S-TYPE",1999,NA,2,65515,11000,7778.17459305202,5500
"2000 Jaguar XJ",1999,NA,4,95265,35000,14614.4905259586,7307.24526297929
"2000 Jaguar XK",1999,NA,4,101515,19000,7852.81265959316,3926.40632979658
"2000 Jeep Cherokee",1999,NA,6,30531.6666666667,5400,1884.05590858304,769.162603817367
"2000 Jeep Grand Cherokee",1999,NA,4,42715,7600,3713.93771263511,1856.96885631756
"2000 Jeep TJ",1999,NA,6,23198.3333333333,7300,2964.06252745563,1210.07345966176
"2000 Kia Sephia",1999,NA,9,14826.1111111111,3700,1226.21821512776,408.739405042587
"2000 Kia Sportage",1999,NA,10,23615,5900,1866.07133363712,590.103569064128
"2000 Land Rover Discovery",1999,NA,2,48415,3000,2121.32034355964,1500
"2000 Land Rover Range Rover",1999,NA,2,91015,12000,8485.28137423857,6000
"2000 Lexus ES",1999,NA,6,46265,6100,2128.61457290887,869.003260446511
"2000 Lexus GS",1999,NA,11,65924.0909090909,12100,5052.61408489794,1523.42046637013
"2000 Lexus LS",1999,NA,5,80455,1900,838.450952650183,374.966665185053
"2000 Lexus LX",1999,NA,2,87765,1300,919.238815542512,650
"2000 Lexus RX",1999,NA,6,51781.6666666667,6300,2337.23483344457,954.172125166337
"2000 Lincoln Continental",1999,NA,1,53115,0,NA,NA
"2000 Lincoln LS",1999,NA,3,43181.6666666667,6600,3674.68819538928,2121.58221879594
"2000 Lincoln Navigator",1999,NA,1,68815,0,NA,NA
"2000 Lincoln Town Car",1999,NA,3,53281.6666666667,3300,1656.30109984065,956.26588585207
"2000 Mazda 626",1999,NA,6,26881.6666666667,8100,3276.38011632757,1337.57658140052
"2000 Mazda B-Series",1999,NA,12,21106.6666666667,10300,2842.04098663214,820.426564340007
"2000 Mazda Millenia",1999,NA,2,40965,2700,1909.18830920368,1350
"2000 Mazda MPV",1999,NA,3,28781.6666666667,8400,4206.34441449263,2428.5340800116
"2000 Mazda MX-5",1999,NA,2,27565,1100,777.817459305202,550
"2000 Mazda Protege",1999,NA,6,16548.3333333333,3400,1232.34194388841,503.101491859358
"2000 Mercedes-Benz C-Class",1999,NA,5,46215,13300,5204.3251243557,2327.44495101388
"2000 Mercedes-Benz CL-Class",1999,NA,1,122915,0,NA,NA
