"VIN","make","model","model_year","fuel_type","GVWR"
"4s4wx85d074401370","SUBARU","B9 Tribeca","2007","","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jtkde177870189902","TOYOTA","SCION tC","2007","Gasoline",""
"kl5jd56z17k704823","SUZUKI","Forenza","2007","",""
"4s4wx82d374410889","SUBARU","B9 Tribeca","2007","","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"3vwrf31y07m407798","VOLKSWAGEN","Beetle","2007","Gasoline",""
"3c6trvdg2ee129662","RAM","Promaster 2500","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftne2ew6eda18857","FORD","E-250","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftne2ew4eda15987","FORD","E-250","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbss3bl0eda50543","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl1eda93093","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl7eda11254","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3blxeda76826","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ftns2ew9eda99572","FORD","E-250","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbss3bl0edb00616","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl5eda11253","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl0eda11256","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl1eda92901","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3blxeda93092","FORD","E-350","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbne3bl4eda59735","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbne3bl2eda51407","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbne3bl1eda82339","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbne3bl3eda98123","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbne3bl7eda32397","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbne3bl4eda25651","FORD","E-350","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ft7w2btxeeb50580","FORD","F-250","2014","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ft7w2b61eeb87401","FORD","F-250","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ft7w2bt0eea89238","FORD","F-250","2014","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ft7w2b67eeb79920","FORD","F-250","2014","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fadp3l9xel147849","FORD","Focus","2014","Gasoline",""
"3fa6p0lu1er165430","FORD","Fusion","2014","Gasoline",""
"1ft7w2bt8eeb01426","FORD","F-250","2014","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1zvbp8jz0e5216289","FORD","Mustang","2014","Gasoline",""
"1gtw7fba6e1120353","GMC","Savana","2014","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"5xyzt3lb1eg148625","HYUNDAI","Santa Fe","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"5n1al0mmxec516103","INFINITI","QX60","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"5n1al0mm1ec509329","INFINITI","QX60","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"5n1al0mn0ec518368","INFINITI","QX60","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jn8cs1mw6em412231","INFINITI","QX70","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jn8az2ne0e9062970","INFINITI","QX80","2014","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"5n1al0mn1ec519478","INFINITI","QX60","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbe1bl6e5030412","LEXUS","GS","2014","Gasoline",""
"jthbk1gg2e2109212","LEXUS","ES","2014","Gasoline",""
"jtjhy7ax7e4141208","LEXUS","LX","2014","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"jthbe1d23e5002376","LEXUS","IS","2014","Gasoline",""
"jthbf1d25e5027521","LEXUS","IS","2014","Gasoline",""
"jthbf1d27e5006525","LEXUS","IS","2014","Gasoline",""
"jthbf1d25e5019385","LEXUS","IS","2014","Gasoline",""
"4a4ap3au5ee011890","MITSUBISHI","Outlander Sport","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"3n6cm0kn8ek696002","NISSAN","NV200","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
